trade_id,symbol,entry_price,qty,cost_basis,date_opened,status
TRADE-001,AVAX,7.5230,87.256414,656.43,2026-09-03T17:49:55.183837+00:00,OPEN
TRADE-002,HYPE,86.0620,10.532291,906.43,2026-09-04T06:00:48.148572+00:00,OPEN
TRADE-003,ADA,0.2134,3496.485473,746.15,2026-09-04T17:06:55.052022+00:00,OPEN
TRADE-004,ICP,2.6803,402.136110,1078.94,2026-09-05T06:30:59.197506+00:00,OPEN
TRADE-005,XRP,1.4053,486.817211,684.81,2026-09-05T08:01:00.257329+00:00,OPEN
TRADE-006,HNT,0.6136,519.161450,318.88,2026-09-05T12:00:47.387591+00:00,OPEN
TRADE-007,SOL,103.3116,10.506208,1086.50,2026-09-05T13:00:46.241026+00:00,OPEN
TRADE-008,SUI,0.7971,1040.474070,830.19,2026-09-05T14:00:47.573488+00:00,OPEN
TRADE-009,APT,0.6194,1549.715213,960.87,2026-09-06T03:00:46.342843+00:00,OPEN
TRADE-010,DOT,0.9318,1286.589122,1200.00,2026-09-06T04:00:46.439425+00:00,OPEN
